DOI,Link
"10.1007/978-3-030-14687-0_14","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064154279&doi=10.1007%2f978-3-030-14687-0_14&partnerID=40&md5=a4690bca5fabced5060773a17c91f7f6"
"10.1007/978-3-030-18072-0_35","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065409162&doi=10.1007%2f978-3-030-18072-0_35&partnerID=40&md5=fd6441c33f3e2d618839de8c13eb098e"
,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064168574&partnerID=40&md5=465b0f8be2cb1d8d10bbe9cdfd740170"
"10.1016/j.eswa.2019.04.070","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065212883&doi=10.1016%2fj.eswa.2019.04.070&partnerID=40&md5=3e2029373d65cb47c7f4b680dc817a4b"
"10.1016/j.yexmp.2019.104270","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069001969&doi=10.1016%2fj.yexmp.2019.104270&partnerID=40&md5=67c9080610cc725efc1511c608052b61"
"10.1016/j.infsof.2019.06.009","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068071058&doi=10.1016%2fj.infsof.2019.06.009&partnerID=40&md5=80463c60b217691a61adc08bc5bb5e3c"
"10.1016/j.ejrad.2019.06.028","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068254903&doi=10.1016%2fj.ejrad.2019.06.028&partnerID=40&md5=4bf73037c2d24d7fa7ccdb877a02fe9b"
"10.1016/j.jss.2019.04.031","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067995509&doi=10.1016%2fj.jss.2019.04.031&partnerID=40&md5=ac00782b83cbec90e8f28ab45b034398"
"10.1016/j.cca.2019.05.019","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85066293583&doi=10.1016%2fj.cca.2019.05.019&partnerID=40&md5=172dde62a33545b2913914a86b7b36e0"
"10.1016/j.lungcan.2019.06.026","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068107078&doi=10.1016%2fj.lungcan.2019.06.026&partnerID=40&md5=57c1c29d5701ec76729914823a5607ad"
"10.1007/s12253-018-0413-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044189432&doi=10.1007%2fs12253-018-0413-9&partnerID=40&md5=df373e9f1c5dec654839e732c8d7cfd3"
