DOI,Link
"10.1007/978-3-030-14687-0_14","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064154279&doi=10.1007%2f978-3-030-14687-0_14&partnerID=40&md5=a4690bca5fabced5060773a17c91f7f6"
"10.1007/978-3-030-18072-0_35","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065409162&doi=10.1007%2f978-3-030-18072-0_35&partnerID=40&md5=fd6441c33f3e2d618839de8c13eb098e"
,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064168574&partnerID=40&md5=465b0f8be2cb1d8d10bbe9cdfd740170"
"10.1016/j.jss.2019.07.100","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070519994&doi=10.1016%2fj.jss.2019.07.100&partnerID=40&md5=16c5597d0bcf90620a695227f5273989"
"10.1016/j.eswa.2019.04.070","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065212883&doi=10.1016%2fj.eswa.2019.04.070&partnerID=40&md5=3e2029373d65cb47c7f4b680dc817a4b"
"10.1016/j.infsof.2019.06.009","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068071058&doi=10.1016%2fj.infsof.2019.06.009&partnerID=40&md5=80463c60b217691a61adc08bc5bb5e3c"
,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071854076&partnerID=40&md5=bc6a16cfd7f5736901f9755b9eac9bc8"
"10.35940/ijitee.J9602.0881019","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071332124&doi=10.35940%2fijitee.J9602.0881019&partnerID=40&md5=ac646f227c9aba7a056821dc26dac2c2"
"10.1016/j.jss.2019.04.031","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067995509&doi=10.1016%2fj.jss.2019.04.031&partnerID=40&md5=ac00782b83cbec90e8f28ab45b034398"
"10.1145/3293882.3330568","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070631430&doi=10.1145%2f3293882.3330568&partnerID=40&md5=567d402f93a4b1f2d575a1801d883e97"
"10.1145/3293882.3338984","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070642447&doi=10.1145%2f3293882.3338984&partnerID=40&md5=da0d40d2023d0f564856581c768c5f09"
,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070609393&partnerID=40&md5=a1119071c716a9bf9b54b26c265851f9"
